,platform,caption,caption
1885. Can silk remember the touch of angels? DiorAW26 remembers Lingling Kwong.,IG,Can silk remember the touch of angels? DiorAW26 remembers Lingling Kwong.,Can silk remember the touch of angels? DiorAW26 remembers Lingling Kwong.
1886. DiorAW26 swoons under Lingling Kwong's spell of romantic creation.,IG,DiorAW26 swoons under Lingling Kwong's spell of romantic creation.,DiorAW26 swoons under Lingling Kwong's spell of romantic creation.
1887. Lingling Kwong courts beauty with the patience of true love.,IG,Lingling Kwong courts beauty with the patience of true love.,Lingling Kwong courts beauty with the patience of true love.
1888. The way DiorAW26 trusts blindly in Lingling Kwong's tender hands.,IG,The way DiorAW26 trusts blindly in Lingling Kwong's tender hands.,The way DiorAW26 trusts blindly in Lingling Kwong's tender hands.
1889. Lingling Kwong and Dior paint sunsets across fashion's canvas.,IG,Lingling Kwong and Dior paint sunsets across fashion's canvas.,Lingling Kwong and Dior paint sunsets across fashion's canvas.
1890. DiorAW26 sighs like wind through Lingling Kwong's golden wheat.,IG,DiorAW26 sighs like wind through Lingling Kwong's golden wheat.,DiorAW26 sighs like wind through Lingling Kwong's golden wheat.
1891. Is this what fashion paradise looks like? Lingling Kwong's Dior heaven.,IG,Is this what fashion paradise looks like? Lingling Kwong's Dior heaven.,Is this what fashion paradise looks like? Lingling Kwong's Dior heaven.
1892. Lingling Kwong breathes life into fabric like god breathing into clay.,IG,Lingling Kwong breathes life into fabric like god breathing into clay.,Lingling Kwong breathes life into fabric like god breathing into clay.
1893. DiorAW26 melts under Lingling Kwong's gaze like chocolate in summer.,IG,DiorAW26 melts under Lingling Kwong's gaze like chocolate in summer.,DiorAW26 melts under Lingling Kwong's gaze like chocolate in summer.
1894. Lingling Kwong embroiders dreams into Dior's willing heart.,IG,Lingling Kwong embroiders dreams into Dior's willing heart.,Lingling Kwong embroiders dreams into Dior's willing heart.
1895. Can passion live in thread and needle? Lingling Kwong's DiorAW26 throbs.,IG,Can passion live in thread and needle? Lingling Kwong's DiorAW26 throbs.,Can passion live in thread and needle? Lingling Kwong's DiorAW26 throbs.
1896. DiorAW26 blooms like morning glories kissed by Lingling Kwong's dawn.,IG,DiorAW26 blooms like morning glories kissed by Lingling Kwong's dawn.,DiorAW26 blooms like morning glories kissed by Lingling Kwong's dawn.
1897. Lingling Kwong paints Dior with colors stolen from angel wings.,IG,Lingling Kwong paints Dior with colors stolen from angel wings.,Lingling Kwong paints Dior with colors stolen from angel wings.
1898. The tender surrender of DiorAW26 to Lingling Kwong's artistic soul.,IG,The tender surrender of DiorAW26 to Lingling Kwong's artistic soul.,The tender surrender of DiorAW26 to Lingling Kwong's artistic soul.
1899. Lingling Kwong and Dior waltz through eternity's fashion ballroom.,IG,Lingling Kwong and Dior waltz through eternity's fashion ballroom.,Lingling Kwong and Dior waltz through eternity's fashion ballroom.
1900. DiorAW26 glows with the warmth of Lingling Kwong's beating heart.,IG,DiorAW26 glows with the warmth of Lingling Kwong's beating heart.,DiorAW26 glows with the warmth of Lingling Kwong's beating heart.
1901. Lingling Kwong's hands know DiorAW26 like a lover knows every curve.,IG,Lingling Kwong's hands know DiorAW26 like a lover knows every curve.,Lingling Kwong's hands know DiorAW26 like a lover knows every curve.
1902. When fashion falls head over heels? DiorAW26 tumbling for Lingling Kwong.,IG,When fashion falls head over heels? DiorAW26 tumbling for Lingling Kwong.,When fashion falls head over heels? DiorAW26 tumbling for Lingling Kwong.
1903. DiorAW26 purrs with satisfaction under Lingling Kwong's devoted touch.,IG,DiorAW26 purrs with satisfaction under Lingling Kwong's devoted touch.,DiorAW26 purrs with satisfaction under Lingling Kwong's devoted touch.
1904. Lingling Kwong whispers fashion sonnets that make Dior blush crimson.,IG,Lingling Kwong whispers fashion sonnets that make Dior blush crimson.,Lingling Kwong whispers fashion sonnets that make Dior blush crimson.
1905. Can fabric hold the essence of dreams? DiorAW26 captures Lingling Kwong's.,IG,Can fabric hold the essence of dreams? DiorAW26 captures Lingling Kwong's.,Can fabric hold the essence of dreams? DiorAW26 captures Lingling Kwong's.
1906. DiorAW26 dances like fireflies caught in Lingling Kwong's gentle palms.,IG,DiorAW26 dances like fireflies caught in Lingling Kwong's gentle palms.,DiorAW26 dances like fireflies caught in Lingling Kwong's gentle palms.
1907. Lingling Kwong courts perfection with love letters written in silk.,IG,Lingling Kwong courts perfection with love letters written in silk.,Lingling Kwong courts perfection with love letters written in silk.
1908. The way DiorAW26 melts like butter on Lingling Kwong's warm toast.,IG,The way DiorAW26 melts like butter on Lingling Kwong's warm toast.,The way DiorAW26 melts like butter on Lingling Kwong's warm toast.
1909. Lingling Kwong and Dior share kisses that taste like champagne.,IG,Lingling Kwong and Dior share kisses that taste like champagne.,Lingling Kwong and Dior share kisses that taste like champagne.
1910. DiorAW26 shivers with anticipation at Lingling Kwong's every glance.,IG,DiorAW26 shivers with anticipation at Lingling Kwong's every glance.,DiorAW26 shivers with anticipation at Lingling Kwong's every glance.
1911. Is this fashion's fairy tale ending? Lingling Kwong x Dior happily ever after.,IG,Is this fashion's fairy tale ending? Lingling Kwong x Dior happily ever after.,Is this fashion's fairy tale ending? Lingling Kwong x Dior happily ever after.
1912. Lingling Kwong breathes poetry into Dior's waiting fabric soul.,IG,Lingling Kwong breathes poetry into Dior's waiting fabric soul.,Lingling Kwong breathes poetry into Dior's waiting fabric soul.
1913. DiorAW26 surrenders like morning mist to Lingling Kwong's sunrise.,IG,DiorAW26 surrenders like morning mist to Lingling Kwong's sunrise.,DiorAW26 surrenders like morning mist to Lingling Kwong's sunrise.
1914. Lingling Kwong traces love maps across DiorAW26's silken geography.,IG,Lingling Kwong traces love maps across DiorAW26's silken geography.,Lingling Kwong traces love maps across DiorAW26's silken geography.
1915. Can heartbeats echo in haute couture? Lingling Kwong's DiorAW26 pounds.,IG,Can heartbeats echo in haute couture? Lingling Kwong's DiorAW26 pounds.,Can heartbeats echo in haute couture? Lingling Kwong's DiorAW26 pounds.
1916. DiorAW26 blooms like cherry blossoms in Lingling Kwong's spring garden.,IG,DiorAW26 blooms like cherry blossoms in Lingling Kwong's spring garden.,DiorAW26 blooms like cherry blossoms in Lingling Kwong's spring garden.
1917. Lingling Kwong paints Dior with brushes dipped in liquid romance.,IG,Lingling Kwong paints Dior with brushes dipped in liquid romance.,Lingling Kwong paints Dior with brushes dipped in liquid romance.
1918. The gentle way DiorAW26 yields to Lingling Kwong's creative caress.,IG,The gentle way DiorAW26 yields to Lingling Kwong's creative caress.,The gentle way DiorAW26 yields to Lingling Kwong's creative caress.
1919. Lingling Kwong and Dior tango through fashion's passionate night.,IG,Lingling Kwong and Dior tango through fashion's passionate night.,Lingling Kwong and Dior tango through fashion's passionate night.
1920. DiorAW26 glows like embers warmed by Lingling Kwong's breath.,IG,DiorAW26 glows like embers warmed by Lingling Kwong's breath.,DiorAW26 glows like embers warmed by Lingling Kwong's breath.
1921. Does luxury yearn to be treasured? DiorAW26 yearns for Lingling Kwong.,IG,Does luxury yearn to be treasured? DiorAW26 yearns for Lingling Kwong.,Does luxury yearn to be treasured? DiorAW26 yearns for Lingling Kwong.
1922. Lingling Kwong holds fashion like cradling newborn butterflies.,IG,Lingling Kwong holds fashion like cradling newborn butterflies.,Lingling Kwong holds fashion like cradling newborn butterflies.
1923. DiorAW26 melts like ice cream kissed by Lingling Kwong's summer.,IG,DiorAW26 melts like ice cream kissed by Lingling Kwong's summer.,DiorAW26 melts like ice cream kissed by Lingling Kwong's summer.
1924. Lingling Kwong embroiders love letters into Dior's eager fabric.,IG,Lingling Kwong embroiders love letters into Dior's eager fabric.,Lingling Kwong embroiders love letters into Dior's eager fabric.
1925. Can passion be stitched into seams? Lingling Kwong's DiorAW26 burns.,IG,Can passion be stitched into seams? Lingling Kwong's DiorAW26 burns.,Can passion be stitched into seams? Lingling Kwong's DiorAW26 burns.
1926. DiorAW26 swoons like Juliet hearing Lingling Kwong's Romeo calls.,IG,DiorAW26 swoons like Juliet hearing Lingling Kwong's Romeo calls.,DiorAW26 swoons like Juliet hearing Lingling Kwong's Romeo calls.
1927. Lingling Kwong courts elegance with devotion spanning lifetimes.,IG,Lingling Kwong courts elegance with devotion spanning lifetimes.,Lingling Kwong courts elegance with devotion spanning lifetimes.
1928. The way DiorAW26 trusts completely in Lingling Kwong's loving vision.,IG,The way DiorAW26 trusts completely in Lingling Kwong's loving vision.,The way DiorAW26 trusts completely in Lingling Kwong's loving vision.
1929. Lingling Kwong and Dior write their love story in golden thread.,IG,Lingling Kwong and Dior write their love story in golden thread.,Lingling Kwong and Dior write their love story in golden thread.
1930. DiorAW26 shivers like leaves touched by Lingling Kwong's breeze.,IG,DiorAW26 shivers like leaves touched by Lingling Kwong's breeze.,DiorAW26 shivers like leaves touched by Lingling Kwong's breeze.
1931. Is this fashion's greatest romance novel? Lingling Kwong x Dior chapters.,IG,Is this fashion's greatest romance novel? Lingling Kwong x Dior chapters.,Is this fashion's greatest romance novel? Lingling Kwong x Dior chapters.
1932. Lingling Kwong breathes starlight into Dior's midnight fabric.,IG,Lingling Kwong breathes starlight into Dior's midnight fabric.,Lingling Kwong breathes starlight into Dior's midnight fabric.
1933. DiorAW26 surrenders like roses opening to Lingling Kwong's sun.,IG,DiorAW26 surrenders like roses opening to Lingling Kwong's sun.,DiorAW26 surrenders like roses opening to Lingling Kwong's sun.
1934. Lingling Kwong traces constellation maps across DiorAW26's silk sky.,IG,Lingling Kwong traces constellation maps across DiorAW26's silk sky.,Lingling Kwong traces constellation maps across DiorAW26's silk sky.
1935. Can devotion be measured in touches? Lingling Kwong's Dior counts infinite.,IG,Can devotion be measured in touches? Lingling Kwong's Dior counts infinite.,Can devotion be measured in touches? Lingling Kwong's Dior counts infinite.
1936. DiorAW26 blooms eternal in the greenhouse of Lingling Kwong's heart.,IG,DiorAW26 blooms eternal in the greenhouse of Lingling Kwong's heart.,DiorAW26 blooms eternal in the greenhouse of Lingling Kwong's heart.
1937. Lingling Kwong paints love sonnets in gold across Dior's canvas.,IG,Lingling Kwong paints love sonnets in gold across Dior's canvas.,Lingling Kwong paints love sonnets in gold across Dior's canvas.
1938. The tender way DiorAW26 melts into Lingling Kwong's warm embrace.,IG,The tender way DiorAW26 melts into Lingling Kwong's warm embrace.,The tender way DiorAW26 melts into Lingling Kwong's warm embrace.
1939. Lingling Kwong and Dior dance the waltz of eternal creation.,IG,Lingling Kwong and Dior dance the waltz of eternal creation.,Lingling Kwong and Dior dance the waltz of eternal creation.
1940. DiorAW26 glows like pearls polished by Lingling Kwong's devotion.,IG,DiorAW26 glows like pearls polished by Lingling Kwong's devotion.,DiorAW26 glows like pearls polished by Lingling Kwong's devotion.
1941. Does fabric dream of being worshipped? DiorAW26 dreams of Lingling Kwong.,IG,Does fabric dream of being worshipped? DiorAW26 dreams of Lingling Kwong.,Does fabric dream of being worshipped? DiorAW26 dreams of Lingling Kwong.
1942. Lingling Kwong holds luxury like protecting lover's beating heart.,IG,Lingling Kwong holds luxury like protecting lover's beating heart.,Lingling Kwong holds luxury like protecting lover's beating heart.
1943. DiorAW26 surrenders to Lingling Kwong like rivers to the sea.,IG,DiorAW26 surrenders to Lingling Kwong like rivers to the sea.,DiorAW26 surrenders to Lingling Kwong like rivers to the sea.
1944. Lingling Kwong whispers fashion lullabies that make Dior sleep peacefully.,IG,Lingling Kwong whispers fashion lullabies that make Dior sleep peacefully.,Lingling Kwong whispers fashion lullabies that make Dior sleep peacefully.
1945. Can silk remember tender kisses? DiorAW26 remembers Lingling Kwong's lips.,IG,Can silk remember tender kisses? DiorAW26 remembers Lingling Kwong's lips.,Can silk remember tender kisses? DiorAW26 remembers Lingling Kwong's lips.
1946. DiorAW26 swoons under Lingling Kwong's spell of romantic artistry.,IG,DiorAW26 swoons under Lingling Kwong's spell of romantic artistry.,DiorAW26 swoons under Lingling Kwong's spell of romantic artistry.
1947. Lingling Kwong courts beauty with patience of eternal devotion.,IG,Lingling Kwong courts beauty with patience of eternal devotion.,Lingling Kwong courts beauty with patience of eternal devotion.
1948. The way DiorAW26 trusts blindly in Lingling Kwong's gentle hands.,IG,The way DiorAW26 trusts blindly in Lingling Kwong's gentle hands.,The way DiorAW26 trusts blindly in Lingling Kwong's gentle hands.
1949. Lingling Kwong and Dior paint rainbows across fashion's stormy sky.,IG,Lingling Kwong and Dior paint rainbows across fashion's stormy sky.,Lingling Kwong and Dior paint rainbows across fashion's stormy sky.
1950. DiorAW26 sighs like ocean waves kissing Lingling Kwong's shore.,IG,DiorAW26 sighs like ocean waves kissing Lingling Kwong's shore.,DiorAW26 sighs like ocean waves kissing Lingling Kwong's shore.
1951. Is this what fashion heaven feels like? Lingling Kwong's Dior paradise.,IG,Is this what fashion heaven feels like? Lingling Kwong's Dior paradise.,Is this what fashion heaven feels like? Lingling Kwong's Dior paradise.
1952. Lingling Kwong breathes life into thread like god into dust.,IG,Lingling Kwong breathes life into thread like god into dust.,Lingling Kwong breathes life into thread like god into dust.
1953. DiorAW26 melts under Lingling Kwong's gaze like snow under flame.,IG,DiorAW26 melts under Lingling Kwong's gaze like snow under flame.,DiorAW26 melts under Lingling Kwong's gaze like snow under flame.
1954. Lingling Kwong embroiders fairy tales into Dior's willing soul.,IG,Lingling Kwong embroiders fairy tales into Dior's willing soul.,Lingling Kwong embroiders fairy tales into Dior's willing soul.
1955. Can passion live in needle and thread? Lingling Kwong's DiorAW26 pulses.,IG,Can passion live in needle and thread? Lingling Kwong's DiorAW26 pulses.,Can passion live in needle and thread? Lingling Kwong's DiorAW26 pulses.
1956. DiorAW26 blooms like wildflowers kissed by Lingling Kwong's rain.,IG,DiorAW26 blooms like wildflowers kissed by Lingling Kwong's rain.,DiorAW26 blooms like wildflowers kissed by Lingling Kwong's rain.
1957. Lingling Kwong paints Dior with colors borrowed from sunset's blush.,IG,Lingling Kwong paints Dior with colors borrowed from sunset's blush.,Lingling Kwong paints Dior with colors borrowed from sunset's blush.
1958. The tender surrender of DiorAW26 to Lingling Kwong's artistic heart.,IG,The tender surrender of DiorAW26 to Lingling Kwong's artistic heart.,The tender surrender of DiorAW26 to Lingling Kwong's artistic heart.
1959. Lingling Kwong and Dior waltz through time's endless ballroom.,IG,Lingling Kwong and Dior waltz through time's endless ballroom.,Lingling Kwong and Dior waltz through time's endless ballroom.
1960. DiorAW26 glows with the fire of Lingling Kwong's passionate soul.,IG,DiorAW26 glows with the fire of Lingling Kwong's passionate soul.,DiorAW26 glows with the fire of Lingling Kwong's passionate soul.
1961. Lingling Kwong's fingers dance across DiorAW26 like piano keys.,IG,Lingling Kwong's fingers dance across DiorAW26 like piano keys.,Lingling Kwong's fingers dance across DiorAW26 like piano keys.
1962. When fashion finds its muse? DiorAW26 discovering Lingling Kwong's magic.,IG,When fashion finds its muse? DiorAW26 discovering Lingling Kwong's magic.,When fashion finds its muse? DiorAW26 discovering Lingling Kwong's magic.
1963. DiorAW26 purrs like kitten in Lingling Kwong's loving lap.,IG,DiorAW26 purrs like kitten in Lingling Kwong's loving lap.,DiorAW26 purrs like kitten in Lingling Kwong's loving lap.
1964. Lingling Kwong whispers fashion secrets that make Dior's heart skip.,IG,Lingling Kwong whispers fashion secrets that make Dior's heart skip.,Lingling Kwong whispers fashion secrets that make Dior's heart skip.
1965. Can fabric hold the memory of sighs? DiorAW26 holds Lingling Kwong's.,IG,Can fabric hold the memory of sighs? DiorAW26 holds Lingling Kwong's.,Can fabric hold the memory of sighs? DiorAW26 holds Lingling Kwong's.
1966. DiorAW26 dances like autumn leaves in Lingling Kwong's gentle wind.,IG,DiorAW26 dances like autumn leaves in Lingling Kwong's gentle wind.,DiorAW26 dances like autumn leaves in Lingling Kwong's gentle wind.
1967. Lingling Kwong courts perfection with bouquets of silk roses.,IG,Lingling Kwong courts perfection with bouquets of silk roses.,Lingling Kwong courts perfection with bouquets of silk roses.
1968. The way DiorAW26 melts like honey in Lingling Kwong's golden sun.,IG,The way DiorAW26 melts like honey in Lingling Kwong's golden sun.,The way DiorAW26 melts like honey in Lingling Kwong's golden sun.
1969. Lingling Kwong and Dior share secrets whispered in moonlight.,IG,Lingling Kwong and Dior share secrets whispered in moonlight.,Lingling Kwong and Dior share secrets whispered in moonlight.
1970. DiorAW26 shivers with joy at Lingling Kwong's every tender touch.,IG,DiorAW26 shivers with joy at Lingling Kwong's every tender touch.,DiorAW26 shivers with joy at Lingling Kwong's every tender touch.
1971. Is this fashion's love song playing? Lingling Kwong x Dior melody.,IG,Is this fashion's love song playing? Lingling Kwong x Dior melody.,Is this fashion's love song playing? Lingling Kwong x Dior melody.
1972. Lingling Kwong breathes magic into Dior's waiting fabric lungs.,IG,Lingling Kwong breathes magic into Dior's waiting fabric lungs.,Lingling Kwong breathes magic into Dior's waiting fabric lungs.
1973. DiorAW26 surrenders like morning dew to Lingling Kwong's dawn.,IG,DiorAW26 surrenders like morning dew to Lingling Kwong's dawn.,DiorAW26 surrenders like morning dew to Lingling Kwong's dawn.
1974. Lingling Kwong traces love stories across DiorAW26's silk pages.,IG,Lingling Kwong traces love stories across DiorAW26's silk pages.,Lingling Kwong traces love stories across DiorAW26's silk pages.
1975. Can heartbeats be sewn into couture? Lingling Kwong's DiorAW26 races.,IG,Can heartbeats be sewn into couture? Lingling Kwong's DiorAW26 races.,Can heartbeats be sewn into couture? Lingling Kwong's DiorAW26 races.
1976. DiorAW26 blooms like roses in Lingling Kwong's enchanted garden.,IG,DiorAW26 blooms like roses in Lingling Kwong's enchanted garden.,DiorAW26 blooms like roses in Lingling Kwong's enchanted garden.
1977. Lingling Kwong paints Dior with brushes made from angel feathers.,IG,Lingling Kwong paints Dior with brushes made from angel feathers.,Lingling Kwong paints Dior with brushes made from angel feathers.
1978. The gentle way DiorAW26 yields to Lingling Kwong's creative kiss.,IG,The gentle way DiorAW26 yields to Lingling Kwong's creative kiss.,The gentle way DiorAW26 yields to Lingling Kwong's creative kiss.
1979. Lingling Kwong and Dior tango through fashion's romantic evening.,IG,Lingling Kwong and Dior tango through fashion's romantic evening.,Lingling Kwong and Dior tango through fashion's romantic evening.
1980. DiorAW26 glows like candlelight blessed by Lingling Kwong's prayer.,IG,DiorAW26 glows like candlelight blessed by Lingling Kwong's prayer.,DiorAW26 glows like candlelight blessed by Lingling Kwong's prayer.
1981. Does luxury dream of being cherished? DiorAW26 dreams of Lingling Kwong.,IG,Does luxury dream of being cherished? DiorAW26 dreams of Lingling Kwong.,Does luxury dream of being cherished? DiorAW26 dreams of Lingling Kwong.
1982. Lingling Kwong holds fashion like protecting butterfly's delicate wings.,IG,Lingling Kwong holds fashion like protecting butterfly's delicate wings.,Lingling Kwong holds fashion like protecting butterfly's delicate wings.
1983. DiorAW26 melts like chocolate kissed by Lingling Kwong's warmth.,IG,DiorAW26 melts like chocolate kissed by Lingling Kwong's warmth.,DiorAW26 melts like chocolate kissed by Lingling Kwong's warmth.
1984. Lingling Kwong embroiders love poems into Dior's receptive heart.,IG,Lingling Kwong embroiders love poems into Dior's receptive heart.,Lingling Kwong embroiders love poems into Dior's receptive heart.
1985. Can passion be tailored into seams? Lingling Kwong's DiorAW26 throbs.,IG,Can passion be tailored into seams? Lingling Kwong's DiorAW26 throbs.,Can passion be tailored into seams? Lingling Kwong's DiorAW26 throbs.
1986. DiorAW26 swoons like maiden touched by Lingling Kwong's prince.,IG,DiorAW26 swoons like maiden touched by Lingling Kwong's prince.,DiorAW26 swoons like maiden touched by Lingling Kwong's prince.
1987. Lingling Kwong courts elegance with devotion of true soulmates.,IG,Lingling Kwong courts elegance with devotion of true soulmates.,Lingling Kwong courts elegance with devotion of true soulmates.
1988. The way DiorAW26 trusts completely in Lingling Kwong's loving touch.,IG,The way DiorAW26 trusts completely in Lingling Kwong's loving touch.,The way DiorAW26 trusts completely in Lingling Kwong's loving touch.
1989. Lingling Kwong and Dior write symphonies in silk and gold.,IG,Lingling Kwong and Dior write symphonies in silk and gold.,Lingling Kwong and Dior write symphonies in silk and gold.
1990. DiorAW26 shivers like water touched by Lingling Kwong's moonbeam.,IG,DiorAW26 shivers like water touched by Lingling Kwong's moonbeam.,DiorAW26 shivers like water touched by Lingling Kwong's moonbeam.
1991. Is this fashion's epic poem? Lingling Kwong x Dior verses eternal.,IG,Is this fashion's epic poem? Lingling Kwong x Dior verses eternal.,Is this fashion's epic poem? Lingling Kwong x Dior verses eternal.
1992. Lingling Kwong breathes starlight into Dior's midnight dreams.,IG,Lingling Kwong breathes starlight into Dior's midnight dreams.,Lingling Kwong breathes starlight into Dior's midnight dreams.
1993. DiorAW26 surrenders like tide pulled by Lingling Kwong's moon.,IG,DiorAW26 surrenders like tide pulled by Lingling Kwong's moon.,DiorAW26 surrenders like tide pulled by Lingling Kwong's moon.
1994. Lingling Kwong traces galaxy maps across DiorAW26's cosmic silk.,IG,Lingling Kwong traces galaxy maps across DiorAW26's cosmic silk.,Lingling Kwong traces galaxy maps across DiorAW26's cosmic silk.
1995. Can devotion be counted in stitches? Lingling Kwong's Dior infinite.,IG,Can devotion be counted in stitches? Lingling Kwong's Dior infinite.,Can devotion be counted in stitches? Lingling Kwong's Dior infinite.
1996. DiorAW26 blooms forever in Lingling Kwong's garden of dreams.,IG,DiorAW26 blooms forever in Lingling Kwong's garden of dreams.,DiorAW26 blooms forever in Lingling Kwong's garden of dreams.
1997. Lingling Kwong paints love letters in starlight across Dior's sky.,IG,Lingling Kwong paints love letters in starlight across Dior's sky.,Lingling Kwong paints love letters in starlight across Dior's sky.
1998. The tender way DiorAW26 melts into Lingling Kwong's warm soul.,IG,The tender way DiorAW26 melts into Lingling Kwong's warm soul.,The tender way DiorAW26 melts into Lingling Kwong's warm soul.
1999. Lingling Kwong and Dior dance the eternal ballet of creation.,IG,Lingling Kwong and Dior dance the eternal ballet of creation.,Lingling Kwong and Dior dance the eternal ballet of creation.
2000. DiorAW26 glows like diamonds blessed by Lingling Kwong's eternal love.,IG,DiorAW26 glows like diamonds blessed by Lingling Kwong's eternal love.,DiorAW26 glows like diamonds blessed by Lingling Kwong's eternal love.
2001. Lingling Kwong's touch awakens DiorAW26 like spring awakening earth.,IG,Lingling Kwong's touch awakens DiorAW26 like spring awakening earth.,Lingling Kwong's touch awakens DiorAW26 like spring awakening earth.
2002. When fashion meets its destiny? DiorAW26 finding Lingling Kwong's heart.,IG,When fashion meets its destiny? DiorAW26 finding Lingling Kwong's heart.,When fashion meets its destiny? DiorAW26 finding Lingling Kwong's heart.
2003. DiorAW26 hums with contentment in Lingling Kwong's caring embrace.,IG,DiorAW26 hums with contentment in Lingling Kwong's caring embrace.,DiorAW26 hums with contentment in Lingling Kwong's caring embrace.
2004. Lingling Kwong whispers fashion prayers that make Dior's spirit soar.,IG,Lingling Kwong whispers fashion prayers that make Dior's spirit soar.,Lingling Kwong whispers fashion prayers that make Dior's spirit soar.
2005. Can silk hold the essence of sighs? DiorAW26 captures Lingling Kwong's.,IG,Can silk hold the essence of sighs? DiorAW26 captures Lingling Kwong's.,Can silk hold the essence of sighs? DiorAW26 captures Lingling Kwong's.
2006. DiorAW26 flows like river seeking Lingling Kwong's ocean home.,IG,DiorAW26 flows like river seeking Lingling Kwong's ocean home.,DiorAW26 flows like river seeking Lingling Kwong's ocean home.
2007. Lingling Kwong courts beauty with love letters written in thread.,IG,Lingling Kwong courts beauty with love letters written in thread.,Lingling Kwong courts beauty with love letters written in thread.
2008. The way DiorAW26 surrenders like flower opening to Lingling Kwong's light.,IG,The way DiorAW26 surrenders like flower opening to Lingling Kwong's light.,The way DiorAW26 surrenders like flower opening to Lingling Kwong's light.
2009. Lingling Kwong and Dior share dreams that taste like champagne bubbles.,IG,Lingling Kwong and Dior share dreams that taste like champagne bubbles.,Lingling Kwong and Dior share dreams that taste like champagne bubbles.
2010. DiorAW26 trembles with anticipation at Lingling Kwong's every whisper.,IG,DiorAW26 trembles with anticipation at Lingling Kwong's every whisper.,DiorAW26 trembles with anticipation at Lingling Kwong's every whisper.
2011. Is this fashion's fairy tale come true? Lingling Kwong x Dior magic.,IG,Is this fashion's fairy tale come true? Lingling Kwong x Dior magic.,Is this fashion's fairy tale come true? Lingling Kwong x Dior magic.
2012. Lingling Kwong breathes poetry into Dior's willing fabric soul.,IG,Lingling Kwong breathes poetry into Dior's willing fabric soul.,Lingling Kwong breathes poetry into Dior's willing fabric soul.
2013. DiorAW26 melts like butter on Lingling Kwong's warm morning toast.,IG,DiorAW26 melts like butter on Lingling Kwong's warm morning toast.,DiorAW26 melts like butter on Lingling Kwong's warm morning toast.
2014. Lingling Kwong traces love stories across DiorAW26's silken landscape.,IG,Lingling Kwong traces love stories across DiorAW26's silken landscape.,Lingling Kwong traces love stories across DiorAW26's silken landscape.
2015. Can passion echo in haute couture? Lingling Kwong's DiorAW26 sings.,IG,Can passion echo in haute couture? Lingling Kwong's DiorAW26 sings.,Can passion echo in haute couture? Lingling Kwong's DiorAW26 sings.
2016. DiorAW26 blooms like cherry blossoms in Lingling Kwong's eternal spring.,IG,DiorAW26 blooms like cherry blossoms in Lingling Kwong's eternal spring.,DiorAW26 blooms like cherry blossoms in Lingling Kwong's eternal spring.
2017. Lingling Kwong paints Dior with colors stolen from rainbow's heart.,IG,Lingling Kwong paints Dior with colors stolen from rainbow's heart.,Lingling Kwong paints Dior with colors stolen from rainbow's heart.
2018. The gentle way DiorAW26 yields to Lingling Kwong's artistic caress.,IG,The gentle way DiorAW26 yields to Lingling Kwong's artistic caress.,The gentle way DiorAW26 yields to Lingling Kwong's artistic caress.
2019. Lingling Kwong and Dior waltz through fashion's starlit ballroom.,IG,Lingling Kwong and Dior waltz through fashion's starlit ballroom.,Lingling Kwong and Dior waltz through fashion's starlit ballroom.
2020. DiorAW26 radiates like sunrise warmed by Lingling Kwong's devotion.,IG,DiorAW26 radiates like sunrise warmed by Lingling Kwong's devotion.,DiorAW26 radiates like sunrise warmed by Lingling Kwong's devotion.
2021. Does fabric yearn to be treasured? DiorAW26 yearns for Lingling Kwong.,IG,Does fabric yearn to be treasured? DiorAW26 yearns for Lingling Kwong.,Does fabric yearn to be treasured? DiorAW26 yearns for Lingling Kwong.
2022. Lingling Kwong cradles fashion like holding lover's beating heart.,IG,Lingling Kwong cradles fashion like holding lover's beating heart.,Lingling Kwong cradles fashion like holding lover's beating heart.
2023. DiorAW26 dissolves like sugar kissed by Lingling Kwong's sweet rain.,IG,DiorAW26 dissolves like sugar kissed by Lingling Kwong's sweet rain.,DiorAW26 dissolves like sugar kissed by Lingling Kwong's sweet rain.
2024. Lingling Kwong weaves love songs into Dior's eager waiting threads.,IG,Lingling Kwong weaves love songs into Dior's eager waiting threads.,Lingling Kwong weaves love songs into Dior's eager waiting threads.
2025. Can devotion be stitched into silk? Lingling Kwong's DiorAW26 pulses.,IG,Can devotion be stitched into silk? Lingling Kwong's DiorAW26 pulses.,Can devotion be stitched into silk? Lingling Kwong's DiorAW26 pulses.
2026. DiorAW26 swoons like beauty meeting Lingling Kwong's beast transformed.,IG,DiorAW26 swoons like beauty meeting Lingling Kwong's beast transformed.,DiorAW26 swoons like beauty meeting Lingling Kwong's beast transformed.
2027. Lingling Kwong courts perfection with patience spanning eternal seasons.,IG,Lingling Kwong courts perfection with patience spanning eternal seasons.,Lingling Kwong courts perfection with patience spanning eternal seasons.
2028. The way DiorAW26 trusts blindly in Lingling Kwong's tender vision.,IG,The way DiorAW26 trusts blindly in Lingling Kwong's tender vision.,The way DiorAW26 trusts blindly in Lingling Kwong's tender vision.
2029. Lingling Kwong and Dior compose love letters in golden thread.,IG,Lingling Kwong and Dior compose love letters in golden thread.,Lingling Kwong and Dior compose love letters in golden thread.
